OBJECTID,STUSAB,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,PCT_SHARE,SUMLEV,SHAPE_Length,SHAPE_Area
26,PR,RQ065,MUNICIPALITY OF LARES,1,050,0.625144506996379,0.0136394164348642
27,PR,RQ019,MUNICIPALITY OF PENUELAS,0.90865386,050,0.698263614978986,0.00985238465429513
28,PR,RQ040,MUNICIPALITY OF CAMUY,1,050,0.472571394665915,0.010259958439085
29,PR,RQ048,MUNICIPALITY OF SABANA GRANDE,0.96621621,050,0.456873052282083,0.00792601744540024
30,PR,RQ052,MUNICIPALITY OF CIALES,1,050,0.839865306465733,0.014762053190997
31,MA,MA105,WARREN HOUSING AUTHORITY,0.50877196,050,3.83865202989077,0.446911396487038
32,MA,MA050,WESTFIELD HOUSING AUTHORITY,0.83225805,160,0.495045577449252,0.0133662148671031
33,PR,RQ041,MUNICIPALITY OF GURABO,0.98581558,050,0.450121907595118,0.0062652913099506
34,PR,RQ034,MUNICIPALITY OF COMERIO,0.90909094,050,0.404279778441111,0.00631011605258069
35,PR,RQ023,MUNICIPALITY OF COROZAL HOUSING AUTHORITY,1,050,0.429024522459967,0.00942443323874377
36,PR,RQ017,MUNICIPALITY OF GUAYAMA,0.96860987,050,0.837335593898544,0.0144537441109767
37,PR,RQ025,MUNICIPALITY OF HUMACAO,0.99250937,050,0.572459882987572,0.00991881087608088
38,PR,RQ046,MUNICIPALITY OF LAS MARIAS,0.93617022,050,0.632389780682545,0.0102901037929657
39,PR,RQ024,MUNICIPALITY OF MOROVIS,1,050,0.440727200313986,0.00861883703777021
40,PR,RQ056,MUNICIPALITY OF VEGA ALTA,0.99152541,050,0.465372727235291,0.00613573328078746
41,PR,RQ032,MUNICIPALITY OF VEGA BAJA,0.99645388,050,0.514260745898401,0.0103033861052576
42,PR,RQ015,MUNICIPALITY OF DORADO,0.93774319,050,0.488999108988924,0.00514492700186727
43,PR,RQ083,MUNICIPALITY OF YAUCO,0.99047619,050,0.702808215421201,0.0151932395998395
44,PR,RQ082,MUNICIPALITY OF AGUAS BUENAS,0.98507464,050,0.449446836841224,0.00665800758351636
45,PR,RQ072,MUNICIPALITY OF FLORIDA,0.95744681,050,0.265099519816915,0.00337028849291774
46,PR,RQ044,MUNICIPALITY OF GUANICA,1,050,0.557256201872431,0.00819659006278878
47,PR,RQ021,MUNICIPALITY OF GUAYANILLA,0.90322578,050,0.730732907397828,0.00934866883659735
48,PR,RQ039,MUNICIPALITY OF HATILLO,0.98591548,050,0.517924806393544,0.0092383905710445
49,PR,RQ035,MUNICIPALITY OF HORMIGUEROS,0.96116507,050,0.31439141422039,0.00250691747944253
50,PR,RQ066,MUNICIPALITY OF ISABELA,1,050,0.633576746026196,0.012228982728043
51,PR,RQ071,MUNICIPALITY OF LAJAS,1,050,0.759542869816755,0.0133129170377506
52,MA,MA028,FRAMINGHAM HOUSING AUTHORITY,0.80070859,050,3.74107007123828,0.240082099797511
53,PR,RQ028,MUNICIPALITY OF MANATI,1,050,0.582634146151212,0.0101911505804507
54,PR,RQ010,MUNICIPALITY OF MOCA,0.98550725,050,0.522179867102471,0.0111506839459595
55,PR,RQ067,MUNICIPALITY OF RINCON,1,050,0.301593064945364,0.0031393854904137
56,PR,RQ031,THE MUNICIPALITY OF QUEBRADILLAS,0.96153843,050,0.399441952965543,0.00512692701206021
57,PR,RQ009,MUNICIPALITY OF MAYAGUEZ,0.94524121,050,0.964416260148536,0.0170653153246875
58,PR,RQ030,MUNICIPALITY OF SAN GERMAN,0.98958331,050,0.581018318323654,0.0120519885669883
59,PR,RQ026,MUNICIPALITY OF SAN SEBASTIAN,1,050,0.707273999116577,0.0157658330823254
60,PR,RQ022,MUNICIPALITY OF TOA BAJA,1,050,0.524253058308727,0.0052056546716315
61,PR,RQ053,MUNICIPALITY OF TOA ALTA,0.97175139,050,0.408746029504316,0.00610195717992567
62,PR,RQ011,MUNICIPALITY OF BAYAMON,0.98757172,050,0.589079892854023,0.00985430166491794
63,PR,RQ016,MUNICIPALITY OF GUAYNABO,0.99088144,050,0.573928435142843,0.00611933013708297
64,PR,RQ058,MUNICIPALITY OF SANTA ISABEL,0.97727275,050,0.486646745997159,0.0075262531446851
65,PR,RQ074,MUNICIPALITY OF VIEQUES,0.91578948,050,1.13553552512798,0.0112545440531806
66,PR,RQ049,MUNICIPALITY OF VILLALBA,1,050,0.427645825403244,0.00818845155306474
67,PR,RQ045,MUNICIPALITY OF YABUCOA,1,050,0.715170491497444,0.0122015812665258
68,PR,RQ042,MUNICIPALITY OF COAMO,0.98245615,050,0.719796218834891,0.0172527330752466
69,PR,RQ063,MUNICIPALITY OF LAS PIEDRAS,0.98425198,050,0.486114615696314,0.0074952734967559
70,PR,RQ027,MUNICIPALITY OF LOIZA,1,050,0.487517344302636,0.00448835474649686
71,PR,RQ060,MUNICIPALITY OF BARRANQUITAS,0.97687858,050,0.52635787702142,0.00758394800563535
72,PR,RQ038,MUNICIPALITY OF JUANA DIAZ,1,050,0.731473019239046,0.013389816588447
73,PR,RQ005,PUERTO RICO PUBLIC HOUSING ADMINISTRATION,0.26541126,050,0.824557587800095,0.0108981155308244
74,MA,MA005,HOLYOKE HOUSING AUTHORITY,0.88981098,160,0.407782192090473,0.00644209932110656
75,MA,MA096,GREENFIELD HOUSING AUTHORITY,0.86507934,160,0.365385709350097,0.00621720649817308
76,PR,RQ018,MUNICIPALITY OF CAYEY,0.98989898,050,0.708852821953185,0.0114868685960967
77,PR,RQ036,MUNICIPALITY OF FAJARDO,0.97647059,050,0.5982294668066,0.00657515147165403
78,PR,RQ062,MUNICIPALITY OF CIDRA,0.97340423,050,0.596782808499364,0.00806275476257781
79,PR,RQ050,MUNICIPALITY OF RIO GRANDE,0.98591548,050,0.633885885852972,0.0134681572276826
80,PR,RQ069,MUNICIPALITY OF SALINAS,0.97959185,050,0.826607975073955,0.0152996052735681
81,PR,RQ037,MUNICIPALITY OF SAN LORENZO,1,050,0.581968474995596,0.0117667303930492
82,PR,RQ077,MUNICIPALITY OF JUNCOS,0.94736844,050,0.442530288495223,0.00588822678151061
83,MA,MA066,WILLIAMSTOWN HOUSING AUTHORITY,1,050,2.52035556672398,0.267939110205628
84,MA,MA021,CLINTON HOUSING AUTHORITY,1,160,0.197718648208893,0.00205887873486395
85,MA,MA082,HOLDEN HOUSING AUTHORITY,0.94915253,050,3.83865202989077,0.446911396487038
86,MA,MA106,OXFORD HOUSING AUTHORITY,0.98717946,050,3.83865202989077,0.446911396487038
87,MA,MA041,SHREWSBURY HOUSING AUTHORITY,0.96934867,050,3.83865202989077,0.446911396487038
88,MA,MA076,SOUTHBRIDGE HOUSING AUTHORITY,0.91975307,160,0.375299767724158,0.00588886335293197
89,MA,MA123,WEBSTER HOUSING AUTHORITY,0.83653843,160,0.272698687462424,0.00411295976910001
90,MA,MA188,THE BRIDGE OF CENTRAL MASSACHUSETTS,0.70588237,050,3.83865202989077,0.446911396487038
91,MA,MA012,WORCESTER HOUSING AUTHORITY,0.90961099,160,0.443589724917962,0.0108724872768062
92,MA,MA036,NEWTON HOUSING AUTHORITY,0.77335167,050,3.74107007123828,0.240082099797511
93,MA,MA057,ACTON HOUSING AUTHORITY,0.89473683,050,3.74107007123828,0.240082099797511
94,MA,MA098,CONCORD HOUSING AUTHORITY,0.75247526,050,3.74107007123828,0.240082099797511
95,MA,MA165,HOLLISTON HOUSING AUTHORITY,0.40000001,050,3.74107007123828,0.240082099797511
96,MA,MA026,NORTHAMPTON HOUSING AUTHORITY,0.68520713,050,2.98780269767127,0.154264026712683
97,MA,MA088,WARE HOUSING AUTHORITY,0.58181816,050,2.98780269767127,0.154264026712683
98,MA,MA024,BROCKTON HOUSING AUTHORITY,0.85021549,160,0.339991825086236,0.00606563832712292
99,MA,MA121,HALIFAX HOUSING AUTHORITY,0.61538464,050,4.78872215586738,0.194567584013139
100,MA,MA155,HANSON HOUSING AUTHORITY,0.56666666,050,4.78872215586738,0.194567584013139
101,PR,RQ081,MUNICIPALITY OF LUQUILLO,1,050,0.403563224670673,0.00571853353722473
102,MA,MA072,HOLBROOK HOUSING AUTHORITY,0.62337661,050,2.87029758410114,0.115398419824937
103,MA,MA060,MIDDLEBOROUGH HOUSING AUTHORITY,0.90849674,050,4.78872215586738,0.194567584013139
104,MA,MA079,ABINGTON HOUSING AUTHORITY,0.51948053,050,4.78872215586738,0.194567584013139
105,MA,MA122,EASTON HOUSING AUTHORITY,0.3125,050,4.78872215586738,0.194567584013139
106,MA,MA111,PEMBROKE HOUSING AUTHORITY,0.72307694,050,4.78872215586738,0.194567584013139
107,MA,MA059,PLYMOUTH HOUSING AUTHORITY,0.83128834,050,4.78872215586738,0.194567584013139
108,MA,MA133,ROCKLAND HOUSING AUTHORITY,0.78378379,050,4.78872215586738,0.194567584013139
109,MA,MA067,LEXINGTON HOUSING AUTHORITY,0.82993197,160,0.280675582080574,0.00471875908646558
110,MA,MA033,BROOKLINE HOUSING AUTHORITY,0.76265144,050,2.87029758410114,0.115398419824937
111,MA,MA013,WALTHAM HOUSING AUTHORITY,0.84683359,160,0.281246936728765,0.00389298164769973
112,MA,MA138,DENNIS HOUSING AUTHORITY,0.91011238,050,7.10728258859311,0.116017872421596
113,MA,MA029,PITTSFIELD HOUSING AUTHORITY,0.97826087,160,0.449567575700165,0.0120401353797027
114,MA,MA051,ADAMS HOUSING AUTHORITY,0.83999997,160,0.33611700606962,0.00652800950331818
115,MA,MA034,NORTH ADAMS HOUSING AUTHORITY,0.93416929,160,0.337778113406539,0.00586452583583686
116,MA,MA080,STOCKBRIDGE HOUSING AUTHORITY,1,050,2.52035556672398,0.267939110205628
117,CT,CT041,FARMINGTON HOUSING AUTHORITY,0.94736844,160,0.429264301911654,0.00806721243561885
118,CT,CT040,HOUSING AUTHORITY OF THE TOWN OF GLASTONBURY,0.98623854,160,0.616855131000143,0.014621194952293
119,CT,CT048,HOUSING AUTHORITY OF THE TOWN OF WINDSOR,0.97794116,160,0.446611275543188,0.00869979945621542
120,CT,CT056,BLOOMFIELD HOUSING AUTHORITY,1,160,0.404197228132946,0.00737018406921147
121,CT,CT028,VERNON HOUSING AUTHORITY,0.9509595,160,0.296214577612074,0.00507593457361003
122,PR,RQ006,MUNICIPALITY OF SAN JUAN,0.71228951,050,0.824557587800095,0.0108981155308244
123,MA,MA020,QUINCY HOUSING AUTHORITY,0.77279836,050,2.87029758410114,0.115398419824937
124,MA,MA063,MELROSE HOUSING AUTHORITY,0.6025641,050,3.74107007123828,0.240082099797511
125,CT,CT032,WINDSOR LOCKS HOUSING AUTHORITY,0.98421055,050,2.68963110849136,0.210628359542769
126,MA,MA070,MARLBOROUGH C.D.A. - HOUSING DIVISION,0.80165291,160,0.373868157763079,0.00625410934737659
127,MA,MA137,MAYNARD HOUSING AUTHORITY,1,160,0.150930241320317,0.00152044789858409
128,CT,CT026,MANCHESTER HOUSING AUTHORITY,0.99873257,160,0.367959262746198,0.00776203625362756
129,CT,CT005,HOUSING AUTHORITY OF THE CITY OF NEW BRITAIN,0.99879301,160,0.24696702531848,0.00376909706900138
130,MA,MA901,DEPARTMENT OF HOUSING & COMMUNITY DEVELOPMENT,,040,28.2096209893813,2.29350990045798
131,CT,CT033,SOUTH WINDSOR HOUSING AUTHORITY,1,160,0.398877578365739,0.00804178162508853
132,CT,CT008,HOUSING AUTHORITY OF THE TOWN OF ENFIELD,0.96610171,050,2.68963110849136,0.210628359542769
133,MA,MA091,HUDSON HOUSING AUTHORITY,0.95266271,050,3.74107007123828,0.240082099797511
134,MA,MA181,SANDWICH HOUSING AUTHORITY,0.89655173,050,7.10728258859311,0.116017872421596
135,MA,MA046,BARNSTABLE HOUSING AUTHORITY,0.94673121,050,7.10728258859311,0.116017872421596
136,MA,MA093,WATERTOWN HOUSING AUTHORITY,0.89999998,160,0.189565381763484,0.00116524592453803
137,MA,MA048,ARLINGTON HOUSING AUTHORITY,0.68856448,050,3.74107007123828,0.240082099797511
138,MA,MA065,NEEDHAM HOUSING AUTHORITY,0.80555558,050,2.87029758410114,0.115398419824937
139,MA,MA047,FALMOUTH HOUSING AUTHORITY,0.8125,160,1.04335949121681,0.0130609384254387
140,MA,MA086,LEOMINSTER HOUSING AUTHORITY,0.98941797,050,3.83865202989077,0.446911396487038
141,MA,MA039,WINCHENDON HOUSING AUTHORITY,0.86666667,160,0.585816536893898,0.0125344352830963
142,MA,MA159,AUBURN HOUSING AUTHORITY,1,160,0.262214646702292,0.00463402003931461
143,MA,MA003,CAMBRIDGE HOUSING AUTHORITY,0.67192668,050,3.74107007123828,0.240082099797511
144,MA,MA031,SOMERVILLE HOUSING AUTHORITY,0.8192699,050,3.74107007123828,0.240082099797511
145,MA,MA022,MALDEN HOUSING AUTHORITY,0.87930197,160,0.189728247596659,0.00143822750546705
146,MA,MA027,EVERETT HOUSING AUTHORITY,0.78885633,050,3.74107007123828,0.240082099797511
147,MA,MA016,CHELSEA HOUSING AUTHORITY,0.86625767,050,2.17826230946835,0.0169620810573433
148,MA,MA014,REVERE HOUSING AUTHORITY,0.80090499,050,2.17826230946835,0.0169620810573433
149,MA,MA015,MEDFORD HOUSING AUTHORITY,0.83344436,050,3.74107007123828,0.240082099797511
150,MA,MA110,BOURNE HOUSING AUTHORITY,0.69230771,050,7.10728258859311,0.116017872421596
151,MA,MA100,ATHOL HOUSING AUTHORITY,0.63157892,050,3.83865202989077,0.446911396487038
152,MA,MA094,FRANKLIN COUNTY REGIONAL HOUSING AUTHORITY,0.8028419,050,3.1193453133622,0.205805230819286
153,MA,MA037,FITCHBURG HOUSING AUTHORITY,0.88,160,0.425536472047452,0.00798504938732207
154,MA,MA127,GARDNER HOUSING AUTHORITY,0.95192307,050,3.83865202989077,0.446911396487038
155,CT,CT068,CANTON HOUSING AUTHORITY,1,160,0.378829985728144,0.00702073598907373
156,MA,MA119,HINGHAM HOUSING AUTHORITY,0.68888891,050,4.78872215586738,0.194567584013139
157,MA,MA134,MANSFIELD HOUSING AUTHORITY,0.67415732,050,3.47198489162616,0.163372000108016
158,MA,MA157,MEDWAY HOUSING AUTHORITY,1,160,0.289990002567511,0.00329265941357729
159,MA,MA154,MILLIS HOUSING AUTHORITY,0.55555558,050,2.87029758410114,0.115398419824937
160,MA,MA109,NORWOOD HOUSING AUTHORITY,0.91315138,050,2.87029758410114,0.115398419824937
161,MA,MA049,SCITUATE HOUSING AUTHORITY,1,160,0.615494666657833,0.00495367430467585
162,MA,MA117,STOUGHTON HOUSING AUTHORITY,0.82758623,050,2.87029758410114,0.115398419824937
163,MA,MA140,WALPOLE HOUSING AUTHORITY,0.91752577,050,2.87029758410114,0.115398419824937
164,MA,MA002,BOSTON HOUSING AUTHORITY,0.85378009,160,1.74802400701157,0.0139781997023621
165,MA,MA108,CHELMSFORD HOUSING AUTHORITY,0.88854492,050,3.74107007123828,0.240082099797511
166,ME,ME007,AUBURN HOUSING AUTHORITY,0.93029875,160,0.709905217572492,0.0191358919527852
167,ME,ME005,LEWISTON HOUSING AUTHORITY,0.97027028,160,0.437275536845386,0.0103426901165744
168,ME,ME030,AUGUSTA HOUSING AUTHORITY,0.84148729,160,0.585884190879909,0.0169607038158328
169,ME,ME901,MAINE STATE HOUSING AUTHORITY,,040,53.3239375410014,9.67459891945632
170,ME,ME009,HOUSING AUTHORITY CITY OF BANGOR,0.98058254,160,0.422386353434474,0.0101978987365052
171,ME,ME021,BREWER HOUSING AUTHORITY,0.97096777,160,0.287235512094968,0.00461797964561574
172,ME,ME018,OLD TOWN HOUSING AUTHORITY,1,050,6.52778337784444,1.05873778852519
173,ME,ME019,BATH HOUSING AUTHORITY,0.94979078,160,0.352452205436426,0.00383892430770759
174,ME,ME027,ELLSWORTH HOUSING AUTHORITY,0.98525798,050,13.2778846948141,0.49861829950793
175,ME,ME023,BAR HARBOR HOUSING AUTHORITY,1,160,0.80412620991801,0.0125522821073069
176,ME,ME026,TREMONT HOUSING AUTHORITY,1,160,0.70370036386358,0.00460976077823241
177,ME,ME024,MOUNT DESERT HOUSING AUTHORITY,1,160,1.20781036951836,0.0113998717204415
178,ME,ME022,SOUTHWEST HARBOR HOUSING AUTHORITY,1,160,0.454860728216814,0.0040119390978961
179,MA,MA069,MILFORD HOUSING AUTHORITY,0.58770341,050,3.83865202989077,0.446911396487038
180,MA,MA092,NATICK HOUSING AUTHORITY,0.7368421,050,3.74107007123828,0.240082099797511
181,MA,MA101,WAYLAND HOUSING AUTHORITY,0.86448598,050,3.74107007123828,0.240082099797511
182,MA,MA019,WOBURN HOUSING AUTHORITY,0.95068491,050,3.74107007123828,0.240082099797511
183,MA,MA112,BURLINGTON HOUSING AUTHORITY,0.82558137,050,3.74107007123828,0.240082099797511
184,MA,MA084,ANDOVER HOUSING AUTHORITY,0.83739835,050,4.58611507746814,0.147082659383048
185,MA,MA077,BILLERICA HOUSING AUTHORITY,0.81034482,050,3.74107007123828,0.240082099797511
186,MA,MA042,BELMONT HOUSING AUTHORITY,0.68085104,050,3.74107007123828,0.240082099797511
187,MA,MA135,WELLESLEY HOUSING AUTHORITY,0.54545456,050,2.87029758410114,0.115398419824937
188,MA,MA053,BRAINTREE HOUSING AUTHORITY,0.61968678,050,2.87029758410114,0.115398419824937
189,MA,MA147,MILTON HOUSING AUTHORITY,0.50375938,050,2.87029758410114,0.115398419824937
190,MA,MA045,WEYMOUTH HOUSING AUTHORITY,0.82624114,050,2.87029758410114,0.115398419824937
191,MA,MA040,DEDHAM HOUSING AUTHORITY,0.55652171,050,2.87029758410114,0.115398419824937
192,ME,ME020,SOUTH PORTLAND HOUSING AUTHORITY,0.94849783,160,0.48559134701212,0.00351773745632416
193,MA,MA090,BELLINGHAM HOUSING AUTHORITY,0.5625,050,2.87029758410114,0.115398419824937
194,RI,RI008,TOWN OF WESTERLY HOUSING AUTHORITY,1,160,0.681541326441176,0.00890327377058975
195,RI,RI015,WEST WARWICK HOUSING AUTHORITY,0.99519229,160,0.26262170464027,0.00224624194599482
196,RI,RI007,EAST PROVIDENCE HOUSING AUTHORITY,0.99865413,160,0.441095690691445,0.00391712573292682
197,NH,NH010,KEENE HOUSING,0.94428569,050,2.42351967357049,0.208189478977159
198,NH,NH011,BERLIN HOUSING AUTHORITY,0.98989898,160,0.646392839629298,0.0183034406146975
199,RI,RI006,CRANSTON HOUSING AUTHORITY,0.99787462,160,0.540300174701118,0.00809007067904942
200,NH,NH022,DERRY HOUSING & REDEVELOPMENT AUTHORITY,0.9537037,160,0.427627329872646,0.010409136596956
201,RI,RI003,WOONSOCKET HOUSING AUTHORITY,0.99834073,160,0.204359505995312,0.00223192536607731
202,RI,RI901,RHODE ISLAND HOUSING,,040,8.19913715434257,0.304581443950631
203,RI,RI001,HOUSING AUTHORITY PROVIDENCE,0.9942736,160,0.503829569683267,0.00527585097778525
204,RI,RI017,NORTH PROVIDENCE HOUSING AUTHORITY,0.98866856,160,0.202949214799462,0.00161427519113488
205,RI,RI029,"GATEWAY HEALTHCARE, INC.",1,050,2.01942749356989,0.120797749311389
206,MA,MA116,AMESBURY HOUSING AUTHORITY,0.98780489,050,4.58611507746814,0.147082659383048
207,RI,RI009,JOHNSTON HOUSING AUTHORITY,0.99695122,160,0.364466958785979,0.00682482619200169
208,NH,NH001,MANCHESTER HOUSING  & REDEVELOPMENT AUTHORITY,0.97285944,160,0.536836539134571,0.00999522837263893
209,NH,NH901,NEW HAMPSHIRE HOUSING FINANCE AGENCY,,040,11.9090147545814,2.67871371469597
210,NH,NH007,LACONIA HOUSING & REDEVELOPMENT AUTHORITY,0.90354329,160,0.468709307938787,0.0074559805832706
211,NH,NH005,CONCORD HOUSING AUTHORITY,0.97674417,160,0.719597973454082,0.0193632029271741
212,MA,MA883,AMERICAN TRAINING BY CHELMSFORD HOUSING,0.58333331,050,3.74107007123828,0.240082099797511
213,MA,MA043,DRACUT HOUSING AUTHORITY,0.86086959,050,3.74107007123828,0.240082099797511
214,MA,MA087,HAVERHILL HOUSING AUTHORITY,0.98750001,160,0.495191296098584,0.0101499964955727
215,MA,MA132,GROVELAND HOUSING AUTHORITY,1,160,0.260653577173849,0.00267907568553575
216,MA,MA089,NORTH READING HOUSING AUTHORITY,0.68181819,050,3.74107007123828,0.240082099797511
217,MA,MA075,READING HOUSING AUTHORITY,0.65979379,050,3.74107007123828,0.240082099797511
218,MA,MA139,TEWKSBURY HOUSING AUTHORITY,0.87096775,050,3.74107007123828,0.240082099797511
219,MA,MA001,LOWELL HOUSING AUTHORITY,0.9736203,160,0.304807472586274,0.00412735136829575
220,MA,MA074,WAKEFIELD HOUSING AUTHORITY,0.70588237,050,3.74107007123828,0.240082099797511
221,MA,MA061,WILMINGTON HOUSING AUTHORITY,0.9285714,050,3.74107007123828,0.240082099797511
222,ME,ME028,BIDDEFORD HOUSING AUTHORITY,0.98084289,050,3.47904867438887,0.29313114011237
223,ME,ME006,BRUNSWICK HOUSING AUTHORITY,0.79003561,050,8.81153738169616,0.266944626655139
224,ME,ME011,SANFORD HOUSING AUTHORITY,0.90789473,160,0.68581775198417,0.0140349639382178
225,ME,ME015,THE HOUSING AUTHORITY OF THE CITY OF WESTBROO,0.97981,050,8.81153738169616,0.266944626655139
226,MA,MA010,LAWRENCE HOUSING AUTHORITY,0.98006976,160,0.219898662189857,0.00210727093911506
227,MA,MA081,METHUEN HOUSING AUTHORITY,0.96494156,050,4.58611507746814,0.147082659383048
228,MA,MA107,NORTH ANDOVER HOUSING AUTHORITY,0.86695278,050,4.58611507746814,0.147082659383048
229,MA,MA881,"MIDDLESEX NORTH RESOURCES CENTER, INC.",0.56944442,050,4.58611507746814,0.147082659383048
230,MA,MA882,"COMMUNITY TEAMWORK, INC.",0.55000001,050,3.74107007123828,0.240082099797511
231,ME,ME003,PORTLAND HOUSING AUTHORITY,0.86028087,160,1.01012172770617,0.0061472855848757
232,MA,MA095,YARMOUTH HOUSING AUTHORITY,0.81376517,050,7.10728258859311,0.116017872421596
233,MA,MA018,ATTLEBORO HOUSING AUTHORITY,0.72131145,050,3.47198489162616,0.163372000108016
234,MA,MA006,FALL RIVER HOUSING AUTHORITY,0.92788947,160,0.612110527784872,0.0112762947540597
235,MA,MA007,NEW BEDFORD HOUSING AUTHORITY,0.97381902,160,0.513546725341486,0.00568131312887446
236,MA,MA172,DARTMOUTH HOUSING AUTHORITY,0.95321637,050,3.47198489162616,0.163372000108016
237,MA,MA170,NORTH ATTLEBOROUGH HOUSING AUTHORITY,0.55963302,050,3.47198489162616,0.163372000108016
238,MA,MA125,WINCHESTER HOUSING AUTHORITY,0.77142859,050,3.74107007123828,0.240082099797511
239,MA,MA023,LYNN HOUSING AUTHORITY,0.95739913,160,0.290383015038524,0.00328777611423111
240,MA,MA099,SAUGUS HOUSING AUTHORITY,0.8487395,050,4.58611507746814,0.147082659383048
241,CT,CT013,EAST HARTFORD HOUSING AUTHORITY,0.99903381,160,0.29906293811042,0.00525522468430774
242,MA,MA044,BEVERLY HOUSING AUTHORITY,0.94621849,050,4.58611507746814,0.147082659383048
243,MA,MA118,DANVERS HOUSING AUTHORITY,0.85567009,160,0.373818141541089,0.00394639573310027
244,MA,MA025,GLOUCESTER HOUSING AUTHORITY,0.82183909,160,0.729209335266587,0.00797960565307666
245,MA,MA056,IPSWICH HOUSING AUTHORITY,0.95833331,050,4.58611507746814,0.147082659383048
246,MA,MA880,BRIDGEWELL,0.75409836,050,4.58611507746814,0.147082659383048
247,MA,MA032,NEWBURYPORT HOUSING AUTHORITY,0.99295777,050,4.58611507746814,0.147082659383048
248,MA,MA174,SALISBURY HOUSING AUTHORITY,0.96428573,050,4.58611507746814,0.147082659383048
249,MA,MA054,PEABODY HOUSING AUTHORITY,0.97018969,160,0.320784906372875,0.00475823528056333
250,MA,MA073,ROCKPORT HOUSING AUTHORITY,0.61481482,050,4.58611507746814,0.147082659383048
251,MA,MA055,SALEM HOUSING AUTHORITY,0.93825912,160,0.405197858950514,0.00230746857179038
252,RI,RI026,NARRAGANSETT HOUSING AUTHORITY,0.97515529,050,2.47953962937436,0.0977618565116845
253,RI,RI022,WARREN HOUSING AUTHORITY,1,160,0.367716780831791,0.00174980275740746
254,RI,RI028,KENT COUNTY MENTAL HEALTH CENTER,1,050,1.68490966401203,0.0487587795359619
255,RI,RI011,WARWICK HOUSING AUTHORITY,0.95497954,160,1.06764748622926,0.0100687172915015
256,NJ,NJ045,HIGHTSTOWN HOUSING AUTHORITY,1,160,0.08401313089359,0.000340697755580763
257,NJ,NJ027,PRINCETON HOUSING AUTHORITY,1,160,0.298911958812093,0.00504480666830366
258,NJ,NJ912,STATE OF NJ DEPT. OF COMM. AFFAIRS,,040,22.2752527692373,2.069022102405
259,CT,CT901,CONNECTICUT DEPARTMENT OF HOUSING,,040,10.45161266658,1.39212279965384
260,CT,CT003,HOUSING AUTHORITY OF THE CITY OF HARTFORD,0.99859697,160,0.348291226877057,0.0050626766173618
